Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
1234N_1234N_M1_R1	30.3620689655	31.8448275862	32.224137931	31.0517241379	31.0	33.0689655172	32.0172413793	33.3793103448	33.224137931	33.3706896552	33.0775862069	33.0689655172	32.974137931	32.9913793103	33.7327586207	33.5172413793	33.5344827586	33.3620689655	33.2931034483	33.6206896552	33.4913793103	32.4913793103	32.7586206897	32.6379310345	32.7931034483	32.6293103448	32.7068965517	32.525862069	32.0344827586	31.1465517241	32.0603448276	32.2672413793	32.3965517241	32.3275862069	32.7844827586	32.1896551724	32.4051724138	31.7413793103	30.474137931	22.5862068966	30.724137931	31.5517241379	31.775862069	32.0344827586	31.4396551724	32.2155172414	31.9655172414	30.9568965517	30.9224137931	30.5775862069	30.8017241379	30.525862069	29.7327586207	27.9827586207	22.8620689655
1234N_1234N_M1_R2	26.275862069	29.724137931	30.775862069	30.2413793103	29.775862069	29.4310344828	29.3448275862	29.6379310345	30.1896551724	30.0603448276	30.2327586207	30.6551724138	30.2155172414	30.8965517241	31.4310344828	30.6120689655	30.1810344828	31.4051724138	31.3793103448	30.6810344828	31.0172413793	31.2327586207	31.0431034483	30.7931034483	30.8706896552	30.8620689655	31.0862068966	30.8189655172	30.8965517241	30.7413793103	31.2327586207	31.3793103448	31.1293103448	30.9913793103	31.1293103448	30.6293103448	30.1982758621	30.5603448276	30.9568965517	30.25	29.6034482759	30.75	30.75	30.5344827586	29.5086206897	30.1379310345	30.5344827586	28.525862069	27.6293103448	27.4913793103	26.5775862069	26.3448275862	26.4568965517	26.025862069	23.974137931
1234N_1234N_M2_R1	31.3225806452	31.9032258065	32.9032258065	33.4838709677	32.7419354839	33.0322580645	32.7096774194	33.2580645161	32.9677419355	33.2580645161	33.2903225806	33.3387096774	33.2258064516	33.5483870968	33.2741935484	33.2903225806	33.3387096774	33.1129032258	33.2741935484	33.3387096774	32.8064516129	32.8387096774	32.4838709677	33.5806451613	33.2419354839	32.5322580645	33.0322580645	33.8225806452	33.8064516129	33.0806451613	33.4516129032	33.6935483871	33.1451612903	33.4838709677	32.6774193548	33.1290322581	33.1774193548	33.4193548387	33.3387096774	33.5	32.9193548387	33.7580645161	33.7419354839	33.0322580645	32.0322580645	32.4032258065	32.3064516129	31.8548387097	32.4516129032	32.0483870968	31.6774193548	32.6612903226	30.3064516129	29.2903225806	24.2096774194
1234N_1234N_M2_R2	26.9032258065	31.1935483871	30.4838709677	30.8387096774	29.9677419355	31.0	31.4516129032	30.064516129	30.9032258065	31.3064516129	31.2580645161	31.935483871	32.0967741935	32.1612903226	32.435483871	32.9193548387	32.4677419355	32.0322580645	31.7419354839	32.6612903226	31.935483871	31.7419354839	31.564516129	31.9838709677	32.0483870968	32.0	31.7096774194	32.1774193548	31.1774193548	32.0806451613	32.5322580645	32.6451612903	31.8064516129	32.0322580645	32.2258064516	32.5161290323	32.2580645161	32.064516129	32.0967741935	31.8548387097	31.2096774194	32.5806451613	32.4677419355	32.6612903226	32.3387096774	32.5806451613	31.9838709677	32.2258064516	31.6774193548	31.435483871	30.8387096774	31.2258064516	29.8548387097	29.8387096774	27.8548387097
1234N_1234N_M4_R1	30.8309859155	31.676056338	32.2676056338	31.7464788732	32.4647887324	33.1126760563	32.7605633803	32.2112676056	33.3098591549	32.9718309859	33.5845070423	32.8943661972	33.2887323944	33.485915493	33.5352112676	33.1197183099	32.7464788732	32.8873239437	33.3873239437	32.9436619718	33.4154929577	33.323943662	33.4507042254	33.3873239437	33.5915492958	33.6901408451	33.2676056338	32.985915493	33.1901408451	33.485915493	33.1971830986	32.8943661972	33.0492957746	33.5281690141	33.4366197183	33.8309859155	33.3943661972	33.2323943662	33.1549295775	32.9929577465	32.7394366197	33.5845070423	32.2605633803	33.0	32.7112676056	33.0	32.7887323944	32.6056338028	32.4788732394	31.7323943662	31.9718309859	31.7112676056	31.4507042254	30.9084507042	30.7464788732
1234N_1234N_M4_R2	26.0845070423	31.2816901408	30.7464788732	30.661971831	30.8873239437	30.5915492958	31.2112676056	31.0563380282	31.5492957746	30.5774647887	30.8591549296	31.0704225352	31.2535211268	31.014084507	31.3521126761	31.5915492958	31.5915492958	32.1197183099	32.0492957746	31.8450704225	32.2746478873	31.7887323944	31.9225352113	32.1056338028	31.9436619718	31.6549295775	31.1056338028	32.1478873239	31.6690140845	31.4225352113	31.7464788732	31.4929577465	31.2394366197	31.4014084507	31.2394366197	31.0422535211	30.4929577465	30.9295774648	31.5211267606	30.9507042254	30.6901408451	31.3943661972	31.2746478873	31.161971831	31.3098591549	30.5774647887	30.7253521127	30.7816901408	30.2394366197	30.8521126761	30.0281690141	30.3521126761	30.5352112676	28.8943661972	28.5633802817
1234N_1234N_M5_R1	31.7647058824	31.4215686275	32.0196078431	32.2058823529	32.2745098039	32.6568627451	32.2843137255	33.4509803922	32.9803921569	33.2254901961	33.6225490196	33.7549019608	33.431372549	33.8137254902	33.25	33.568627451	33.818627451	32.637254902	33.75	33.5196078431	33.2156862745	33.137254902	33.0931372549	33.2107843137	33.0441176471	33.0147058824	33.2941176471	33.0637254902	33.2696078431	32.2254901961	32.75	33.0245098039	33.1862745098	33.3970588235	32.818627451	33.3725490196	33.0343137255	32.2794117647	33.0882352941	32.9705882353	33.0147058824	32.5441176471	32.0931372549	32.9460784314	32.9754901961	33.1960784314	32.9705882353	32.7892156863	32.7549019608	32.5196078431	32.5784313725	32.5588235294	32.1617647059	31.5539215686	31.5637254902
1234N_1234N_M5_R2	25.137254902	30.0098039216	30.5098039216	28.431372549	29.8431372549	29.7745098039	30.0	29.068627451	30.2352941176	29.431372549	30.5294117647	30.137254902	30.4362745098	30.8431372549	31.2401960784	31.387254902	31.068627451	31.1911764706	31.2745098039	30.75	31.3725490196	30.9264705882	31.4558823529	31.4264705882	31.431372549	32.0343137255	31.5931372549	31.9019607843	31.6029411765	31.2941176471	31.387254902	31.7990196078	31.3578431373	31.9166666667	31.6078431373	31.8333333333	31.4166666667	31.4509803922	30.8431372549	31.0735294118	30.8431372549	30.6715686275	29.6176470588	31.0588235294	30.8725490196	30.4558823529	31.0098039216	30.8676470588	29.0343137255	29.5931372549	29.6519607843	28.6568627451	28.6960784314	28.4852941176	27.9803921569
1234N_1234N_M6_R1	32.2127659574	31.9680851064	32.6489361702	32.7659574468	33.1170212766	33.3723404255	33.1170212766	33.5957446809	31.9361702128	33.5212765957	33.7819148936	33.8670212766	33.5265957447	33.5	33.6223404255	33.6914893617	34.164893617	33.8776595745	32.6170212766	33.829787234	33.8138297872	33.7659574468	33.4308510638	33.6542553191	34.1223404255	33.920212766	33.8085106383	33.8617021277	34.1542553191	33.9521276596	33.8510638298	33.7712765957	34.0319148936	34.0106382979	33.9574468085	33.9787234043	33.8989361702	34.2659574468	33.4095744681	34.2127659574	34.1861702128	34.1968085106	33.9095744681	33.9095744681	34.1117021277	34.420212766	34.0372340426	33.5	33.8404255319	33.6329787234	33.1808510638	33.5638297872	32.8829787234	31.1382978723	31.7553191489
