#Read position (bp)	Clipping profile
0.0	1.101591187270502
1.0	1.101591187270502
2.0	1.101591187270502
3.0	0.9791921664626682
4.0	0.9791921664626682
5.0	0.9791921664626682
6.0	0.8567931456548347
7.0	0.8567931456548347
8.0	0.7343941248470013
9.0	0.7343941248470013
10.0	0.7343941248470013
11.0	0.7343941248470013
12.0	0.7343941248470013
13.0	0.7343941248470013
14.0	0.7343941248470013
15.0	0.7343941248470013
16.0	0.7343941248470013
17.0	0.7343941248470013
18.0	0.7343941248470013
19.0	0.6119951040391677
20.0	0.6119951040391677
21.0	0.7343941248470013
22.0	0.8567931456548347
23.0	0.7343941248470013
24.0	0.6119951040391677
25.0	0.6119951040391677
26.0	0.4895960832313341
27.0	0.4895960832313341
28.0	0.4895960832313341
29.0	0.6119951040391677
30.0	0.6119951040391677
31.0	0.6119951040391677
32.0	0.6119951040391677
33.0	0.6119951040391677
34.0	0.6119951040391677
35.0	0.4895960832313341
36.0	0.4895960832313341
37.0	0.4895960832313341
38.0	0.4895960832313341
39.0	0.4895960832313341
40.0	0.6119951040391677
41.0	0.6119951040391677
42.0	0.6119951040391677
43.0	0.7343941248470013
44.0	0.7343941248470013
45.0	0.7343941248470013
46.0	0.7343941248470013
47.0	0.7343941248470013
48.0	0.7343941248470013
49.0	0.7343941248470013
50.0	0.7343941248470013
51.0	0.8567931456548347
52.0	0.8567931456548347
53.0	0.8567931456548347
54.0	0.8567931456548347
55.0	1.101591187270502
56.0	1.101591187270502
57.0	1.101591187270502
58.0	1.101591187270502
59.0	1.101591187270502
60.0	1.101591187270502
61.0	1.101591187270502
62.0	1.101591187270502
63.0	1.101591187270502
64.0	1.101591187270502
65.0	1.101591187270502
66.0	1.101591187270502
67.0	1.101591187270502
68.0	1.101591187270502
69.0	1.101591187270502
70.0	1.4687882496940026
71.0	1.4687882496940026
72.0	1.4687882496940026
73.0	1.4687882496940026
74.0	1.4687882496940026
75.0	1.4687882496940026
76.0	1.4687882496940026
77.0	1.4687882496940026
78.0	1.4687882496940026
79.0	1.346389228886169
80.0	1.346389228886169
81.0	1.346389228886169
82.0	1.346389228886169
83.0	1.346389228886169
84.0	1.346389228886169
85.0	1.346389228886169
86.0	1.346389228886169
87.0	1.346389228886169
88.0	1.346389228886169
89.0	1.346389228886169
90.0	1.346389228886169
91.0	1.346389228886169
92.0	1.4687882496940026
93.0	1.4687882496940026
94.0	1.4687882496940026
95.0	1.4687882496940026
96.0	1.4687882496940026
97.0	1.4687882496940026
98.0	1.4687882496940026
99.0	1.4687882496940026
100.0	1.4687882496940026
