#Read position (bp)	Clipping profile
0.0	1.280693307655272
1.0	1.280693307655272
2.0	1.2550152463489006
3.0	1.2229176697159365
4.0	1.1844005777563793
5.0	1.1715615471031937
6.0	1.1619322741133045
7.0	1.142673728133526
8.0	1.104156636173969
9.0	1.097737120847376
10.0	1.0720590595410047
11.0	1.0624297865511154
12.0	1.0335419675814477
13.0	1.014283421601669
14.0	0.9982346332851869
15.0	0.9821858449687049
16.0	0.975766329642112
17.0	0.9597175413256298
18.0	0.9308297223559621
19.0	0.9244102070293694
20.0	0.9212004493660728
21.0	0.91478093403948
22.0	0.9244102070293694
23.0	0.9051516610495908
24.0	0.8891028727331086
25.0	0.8955223880597015
26.0	0.8666345690900338
27.0	0.8698443267533301
28.0	0.8634248114267372
29.0	0.8666345690900338
30.0	0.8698443267533301
31.0	0.8698443267533301
32.0	0.853795538436848
33.0	0.8602150537634409
34.0	0.8409565077836624
35.0	0.8505857807735516
36.0	0.853795538436848
37.0	0.8441662654469587
38.0	0.8473760231102553
39.0	0.8473760231102553
40.0	0.853795538436848
41.0	0.8505857807735516
42.0	0.8505857807735516
43.0	0.8345369924570695
44.0	0.831327234793773
45.0	0.8249077194671802
46.0	0.8216979618038838
47.0	0.8120686888139945
48.0	0.8088589311506982
49.0	0.8088589311506982
50.0	0.8184882041405874
51.0	0.8184882041405874
52.0	0.831327234793773
53.0	0.8184882041405874
54.0	0.8184882041405874
55.0	0.8249077194671802
56.0	0.8216979618038838
57.0	0.8281174771304767
58.0	0.8281174771304767
59.0	0.8409565077836624
60.0	0.8473760231102553
61.0	0.853795538436848
62.0	0.8602150537634409
63.0	0.8505857807735516
64.0	0.853795538436848
65.0	0.8570052961001445
66.0	0.8730540844166265
67.0	0.876263842079923
68.0	0.8826833574065157
69.0	0.8858931150698123
70.0	0.8987321457229979
71.0	0.892312630396405
72.0	0.8955223880597015
73.0	0.8955223880597015
74.0	0.9179906917027765
75.0	0.937249237682555
76.0	0.9532980259990371
77.0	0.9789760873054084
78.0	0.9950248756218906
79.0	1.007863906275076
80.0	1.0207029369282619
81.0	1.0271224522548548
82.0	1.036751725244744
83.0	1.0688493018777083
84.0	1.097737120847376
85.0	1.1137859091638582
86.0	1.136254212806933
87.0	1.158722516450008
88.0	1.1940298507462688
89.0	1.2261274273792329
90.0	1.2582250040121972
91.0	1.2678542770020864
92.0	1.2935323383084576
93.0	1.3320494302680146
94.0	1.3609372492376826
95.0	1.3769860375541647
96.0	1.3962445835339432
97.0	1.4122933718504254
98.0	1.4315519178302039
99.0	1.4604397367998716
100.0	1.4604397367998716
