#Coverage (X)	Coverage
1.0	0.7422374335078956
2.0	0.7381138922106345
3.0	0.7339903509133734
4.0	0.7298668096161123
5.0	0.7257432683188512
6.0	0.7195579563729524
7.0	0.7133726444270536
8.0	0.7030637911838937
9.0	0.696878479237995
10.0	0.6906931672920962
11.0	0.6824460846975597
12.0	0.6721372314543999
13.0	0.6638901488598634
14.0	0.6535812956167035
15.0	0.6494577543194424
16.0	0.641210671724906
17.0	0.6288400478331084
18.0	0.6226547358872097
19.0	0.6123458826440498
20.0	0.606160570698151
21.0	0.5937899468063534
22.0	0.5896664055090923
23.0	0.5814193229145559
24.0	0.5690486990227583
25.0	0.5608016164282219
26.0	0.5546163044823231
27.0	0.550492763185062
28.0	0.5422456805905256
29.0	0.5339985979959891
30.0	0.5278132860500904
31.0	0.5195662034555539
32.0	0.5051338089151187
33.0	0.4907014143746835
34.0	0.47833079048288596
35.0	0.4412189188074933
36.0	0.33606861572721414
37.0	0.19792998226880343
38.0	0.12576800956664158
39.0	0.08659436724261127
40.0	0.03711187167542107
41.0	0.01030885324318831
42.0	2.8421709430404007E-14
43.0	2.8421709430404007E-14
44.0	2.8421709430404007E-14
45.0	2.8421709430404007E-14
46.0	2.8421709430404007E-14
47.0	2.8421709430404007E-14
48.0	2.8421709430404007E-14
49.0	2.8421709430404007E-14
50.0	2.8421709430404007E-14
51.0	2.8421709430404007E-14
