#Read position (bp)	Clipping profile
0.0	1.1382113821138211
1.0	1.1382113821138211
2.0	1.1382113821138211
3.0	1.1382113821138211
4.0	1.1382113821138211
5.0	1.1382113821138211
6.0	1.1382113821138211
7.0	0.975609756097561
8.0	0.8130081300813009
9.0	0.8130081300813009
10.0	0.8130081300813009
11.0	0.8130081300813009
12.0	0.8130081300813009
13.0	0.8130081300813009
14.0	0.8130081300813009
15.0	0.8130081300813009
16.0	0.8130081300813009
17.0	0.8130081300813009
18.0	0.8130081300813009
19.0	0.8130081300813009
20.0	0.975609756097561
21.0	0.975609756097561
22.0	0.975609756097561
23.0	0.975609756097561
24.0	0.8130081300813009
25.0	0.8130081300813009
26.0	0.8130081300813009
27.0	0.8130081300813009
28.0	0.8130081300813009
29.0	0.8130081300813009
30.0	0.8130081300813009
31.0	0.8130081300813009
32.0	0.8130081300813009
33.0	0.975609756097561
34.0	0.975609756097561
35.0	0.975609756097561
36.0	0.975609756097561
37.0	0.8130081300813009
38.0	0.8130081300813009
39.0	0.8130081300813009
40.0	0.6504065040650406
41.0	0.6504065040650406
42.0	0.6504065040650406
43.0	0.6504065040650406
44.0	0.6504065040650406
45.0	0.6504065040650406
46.0	0.8130081300813009
47.0	0.8130081300813009
48.0	0.8130081300813009
49.0	0.8130081300813009
50.0	0.8130081300813009
51.0	0.8130081300813009
52.0	0.8130081300813009
53.0	0.8130081300813009
54.0	0.8130081300813009
55.0	0.8130081300813009
56.0	0.975609756097561
57.0	0.975609756097561
58.0	0.8130081300813009
59.0	0.8130081300813009
60.0	0.8130081300813009
61.0	0.8130081300813009
62.0	0.8130081300813009
63.0	0.975609756097561
64.0	0.975609756097561
65.0	0.975609756097561
66.0	0.975609756097561
67.0	0.975609756097561
68.0	0.975609756097561
69.0	0.975609756097561
70.0	0.975609756097561
71.0	0.975609756097561
72.0	0.975609756097561
73.0	1.1382113821138211
74.0	1.1382113821138211
75.0	1.1382113821138211
76.0	1.1382113821138211
77.0	1.1382113821138211
78.0	1.1382113821138211
79.0	1.1382113821138211
80.0	1.1382113821138211
81.0	1.1382113821138211
82.0	1.1382113821138211
83.0	1.1382113821138211
84.0	1.1382113821138211
85.0	1.1382113821138211
86.0	1.1382113821138211
87.0	1.1382113821138211
88.0	1.1382113821138211
89.0	1.1382113821138211
90.0	1.1382113821138211
91.0	1.1382113821138211
92.0	1.1382113821138211
93.0	1.3008130081300813
94.0	1.3008130081300813
95.0	1.6260162601626018
96.0	1.788617886178862
97.0	1.788617886178862
98.0	1.788617886178862
99.0	1.788617886178862
100.0	1.788617886178862
