#Coverage (X)	Coverage
1.0	0.36882995560127085
2.0	0.3187664756055426
3.0	0.28162260335065525
4.0	0.2203786935792067
5.0	0.159507464800285
6.0	0.10931975780705727
7.0	0.07254856654468256
8.0	0.036771191262374714
9.0	0.015404147691000958
10.0	0.00298144794020061
11.0	1.4210854715202004E-14
12.0	1.4210854715202004E-14
13.0	1.4210854715202004E-14
14.0	1.4210854715202004E-14
15.0	1.4210854715202004E-14
16.0	1.4210854715202004E-14
17.0	1.4210854715202004E-14
18.0	1.4210854715202004E-14
19.0	1.4210854715202004E-14
20.0	1.4210854715202004E-14
21.0	1.4210854715202004E-14
22.0	1.4210854715202004E-14
23.0	1.4210854715202004E-14
24.0	1.4210854715202004E-14
25.0	1.4210854715202004E-14
26.0	1.4210854715202004E-14
27.0	1.4210854715202004E-14
28.0	1.4210854715202004E-14
29.0	1.4210854715202004E-14
30.0	1.4210854715202004E-14
31.0	1.4210854715202004E-14
32.0	1.4210854715202004E-14
33.0	1.4210854715202004E-14
34.0	1.4210854715202004E-14
35.0	1.4210854715202004E-14
36.0	1.4210854715202004E-14
37.0	1.4210854715202004E-14
38.0	1.4210854715202004E-14
39.0	1.4210854715202004E-14
40.0	1.4210854715202004E-14
41.0	1.4210854715202004E-14
42.0	1.4210854715202004E-14
43.0	1.4210854715202004E-14
44.0	1.4210854715202004E-14
45.0	1.4210854715202004E-14
46.0	1.4210854715202004E-14
47.0	1.4210854715202004E-14
48.0	1.4210854715202004E-14
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
