#Coverage (X)	Coverage
1.0	0.7422374335078956
2.0	0.7381138922106345
3.0	0.7339903509133734
4.0	0.7298668096161123
5.0	0.7257432683188512
6.0	0.7174961857243147
7.0	0.7133726444270536
8.0	0.7030637911838937
9.0	0.696878479237995
10.0	0.6906931672920962
11.0	0.6824460846975597
12.0	0.6741990021030233
13.0	0.6618283782112258
14.0	0.6535812956166893
15.0	0.6494577543194282
16.0	0.6412106717248918
17.0	0.6288400478330942
18.0	0.6226547358871954
19.0	0.6123458826440356
20.0	0.6040988000494991
21.0	0.5937899468063392
22.0	0.5896664055090781
23.0	0.5814193229145417
24.0	0.5752340109686429
25.0	0.5669869283741065
26.0	0.5525545338336713
27.0	0.5484309925364101
28.0	0.5422456805905114
29.0	0.5339985979959749
30.0	0.5298750566987138
31.0	0.5216279741041774
32.0	0.5092573502123798
33.0	0.4968867263205823
34.0	0.4762690198342483
35.0	0.44328068945611676
36.0	0.34431569832173636
37.0	0.17318873448519412
38.0	0.11752092697210514
39.0	0.09277967918851004
40.0	0.07834728464807483
41.0	0.05154426621584207
42.0	0.03711187167540686
43.0	0.02474124778360931
44.0	0.0020617706486518728
45.0	1.4210854715202004E-14
46.0	1.4210854715202004E-14
47.0	1.4210854715202004E-14
48.0	1.4210854715202004E-14
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
