#Coverage (X)	Coverage
1.0	0.3978990730181522
2.0	0.3978990730181522
3.0	0.3978990730181522
4.0	0.3977748460206385
5.0	0.39740216502811165
6.0	0.39591144105801845
7.0	0.3931784471128452
8.0	0.39056968016517146
9.0	0.3849794652773113
10.0	0.3821222443346244
11.0	0.37491707847915734
12.0	0.36597273465858393
13.0	0.35441962389033677
14.0	0.34684177704234287
15.0	0.3354128932716094
16.0	0.3255989604684828
17.0	0.31677884364540887
18.0	0.3031138739195285
19.0	0.2908154011662418
20.0	0.27342362151512134
21.0	0.25516225288144767
22.0	0.23553438727518028
23.0	0.2241055035044468
24.0	0.2060925888657863
25.0	0.18907349020719266
26.0	0.17031521358347845
27.0	0.15205384494980478
28.0	0.13279866033606424
29.0	0.11764296664009066
30.0	0.10261149994161656
31.0	0.08882230321822249
32.0	0.07453619850480209
33.0	0.06447381170664812
34.0	0.05465987890352153
35.0	0.04596398907796129
36.0	0.039255731212534783
37.0	0.03366551632467463
38.0	0.02906911741688134
39.0	0.02422426451407489
40.0	0.020870135581361637
41.0	0.016149509676054663
42.0	0.013664969725894593
43.0	0.011677337765760853
44.0	0.010559294788194507
45.0	0.008198981835548125
46.0	0.005714441885388055
47.0	0.0036025829277548382
48.0	0.0023603129526748035
49.0	0.0011180429775947687
50.0	2.484539950415865E-4
51.0	2.8421709430404007E-14
