#Read position (bp)	Clipping profile
0.0	1.1853720050441363
1.0	1.1853720050441363
2.0	1.1601513240857504
3.0	1.0844892812105928
4.0	1.0844892812105928
5.0	1.0592686002522067
6.0	1.008827238335435
7.0	0.9583858764186634
8.0	0.9079445145018915
9.0	0.9079445145018915
10.0	0.8827238335435058
11.0	0.8827238335435058
12.0	0.8827238335435058
13.0	0.8575031525851198
14.0	0.8575031525851198
15.0	0.8575031525851198
16.0	0.8575031525851198
17.0	0.8575031525851198
18.0	0.807061790668348
19.0	0.7818411097099622
20.0	0.7313997477931904
21.0	0.7566204287515763
22.0	0.807061790668348
23.0	0.7818411097099622
24.0	0.7313997477931904
25.0	0.7313997477931904
26.0	0.7061790668348046
27.0	0.6809583858764187
28.0	0.7313997477931904
29.0	0.7566204287515763
30.0	0.7566204287515763
31.0	0.7061790668348046
32.0	0.7061790668348046
33.0	0.7313997477931904
34.0	0.7566204287515763
35.0	0.7566204287515763
36.0	0.7818411097099622
37.0	0.7566204287515763
38.0	0.7566204287515763
39.0	0.7566204287515763
40.0	0.7566204287515763
41.0	0.7818411097099622
42.0	0.807061790668348
43.0	0.807061790668348
44.0	0.7818411097099622
45.0	0.7818411097099622
46.0	0.807061790668348
47.0	0.832282471626734
48.0	0.832282471626734
49.0	0.832282471626734
50.0	0.8575031525851198
51.0	0.8827238335435058
52.0	0.8827238335435058
53.0	0.9079445145018915
54.0	0.9331651954602775
55.0	0.9836065573770493
56.0	1.034047919293821
57.0	1.034047919293821
58.0	1.008827238335435
59.0	1.034047919293821
60.0	1.034047919293821
61.0	1.034047919293821
62.0	1.034047919293821
63.0	1.0592686002522067
64.0	1.1097099621689785
65.0	1.1097099621689785
66.0	1.1097099621689785
67.0	1.1097099621689785
68.0	1.0844892812105928
69.0	1.0844892812105928
70.0	1.1853720050441363
71.0	1.1853720050441363
72.0	1.1853720050441363
73.0	1.235813366960908
74.0	1.235813366960908
75.0	1.210592686002522
76.0	1.210592686002522
77.0	1.1853720050441363
78.0	1.1853720050441363
79.0	1.1601513240857504
80.0	1.1349306431273645
81.0	1.1349306431273645
82.0	1.1349306431273645
83.0	1.1349306431273645
84.0	1.1349306431273645
85.0	1.1601513240857504
86.0	1.1601513240857504
87.0	1.1601513240857504
88.0	1.1601513240857504
89.0	1.1601513240857504
90.0	1.1601513240857504
91.0	1.1853720050441363
92.0	1.210592686002522
93.0	1.235813366960908
94.0	1.2610340479192939
95.0	1.3114754098360655
96.0	1.3366960907944516
97.0	1.3871374527112232
98.0	1.3871374527112232
99.0	1.3871374527112232
100.0	1.3871374527112232
