#Read position (bp)	Clipping profile
0.0	1.145091467672113
1.0	1.145091467672113
2.0	1.1311269375785507
3.0	1.1311269375785507
4.0	1.103197877391426
5.0	1.0892333472978635
6.0	1.0473397570171765
7.0	1.033375226923614
8.0	1.0054461667364893
9.0	0.9914816366429271
10.0	0.9356235162686777
11.0	0.9356235162686777
12.0	0.9356235162686777
13.0	0.907694456081553
14.0	0.907694456081553
15.0	0.8937299259879905
16.0	0.8797653958944283
17.0	0.8658008658008658
18.0	0.8099427454266164
19.0	0.8099427454266164
20.0	0.7959782153330541
21.0	0.8099427454266164
22.0	0.8099427454266164
23.0	0.7959782153330541
24.0	0.7959782153330541
25.0	0.8239072755201788
26.0	0.7959782153330541
27.0	0.7959782153330541
28.0	0.7680491551459293
29.0	0.7680491551459293
30.0	0.754084625052367
31.0	0.754084625052367
32.0	0.7401200949588046
33.0	0.7680491551459293
34.0	0.7680491551459293
35.0	0.7680491551459293
36.0	0.7680491551459293
37.0	0.754084625052367
38.0	0.7959782153330541
39.0	0.7959782153330541
40.0	0.8099427454266164
41.0	0.8378718056137411
42.0	0.8239072755201788
43.0	0.8239072755201788
44.0	0.8239072755201788
45.0	0.8099427454266164
46.0	0.8239072755201788
47.0	0.8239072755201788
48.0	0.8239072755201788
49.0	0.8239072755201788
50.0	0.8378718056137411
51.0	0.8378718056137411
52.0	0.8797653958944283
53.0	0.8797653958944283
54.0	0.8658008658008658
55.0	0.8658008658008658
56.0	0.8099427454266164
57.0	0.8099427454266164
58.0	0.8239072755201788
59.0	0.8658008658008658
60.0	0.8937299259879905
61.0	0.8797653958944283
62.0	0.8937299259879905
63.0	0.8797653958944283
64.0	0.8797653958944283
65.0	0.8797653958944283
66.0	0.8937299259879905
67.0	0.8518363357073035
68.0	0.8658008658008658
69.0	0.8658008658008658
70.0	0.8937299259879905
71.0	0.8937299259879905
72.0	0.907694456081553
73.0	0.907694456081553
74.0	0.9216589861751152
75.0	0.9356235162686777
76.0	0.9914816366429271
77.0	1.0752688172043012
78.0	1.103197877391426
79.0	1.1730205278592376
80.0	1.1730205278592376
81.0	1.1590559977656754
82.0	1.1590559977656754
83.0	1.1730205278592376
84.0	1.2009495880463623
85.0	1.2149141181399248
86.0	1.2847367686077364
87.0	1.3266303588884234
88.0	1.3685239491691104
89.0	1.3824884792626728
90.0	1.4104175394497975
91.0	1.4243820695433598
92.0	1.4523111297304845
93.0	1.508169250104734
94.0	1.550062840385421
95.0	1.5779919005725458
96.0	1.5919564306661083
97.0	1.5919564306661083
98.0	1.5919564306661083
99.0	1.6198854908532327
100.0	1.6198854908532327
