#Coverage (X)	Coverage
1.0	0.3983959810081785
2.0	0.39814752701316536
3.0	0.39802330001565167
4.0	0.39802330001565167
5.0	0.397899073018138
6.0	0.397899073018138
7.0	0.397899073018138
8.0	0.397899073018138
9.0	0.397899073018138
10.0	0.397899073018138
11.0	0.397899073018138
12.0	0.397899073018138
13.0	0.397899073018138
14.0	0.397899073018138
15.0	0.397899073018138
16.0	0.397899073018138
17.0	0.397899073018138
18.0	0.397899073018138
19.0	0.397899073018138
20.0	0.397899073018138
21.0	0.397899073018138
22.0	0.397899073018138
23.0	0.397899073018138
24.0	0.397899073018138
25.0	0.397899073018138
26.0	0.397899073018138
27.0	0.397899073018138
28.0	0.397899073018138
29.0	0.397899073018138
30.0	0.397899073018138
31.0	0.397899073018138
32.0	0.397899073018138
33.0	0.397899073018138
34.0	0.397899073018138
35.0	0.3977748460206243
36.0	0.3976506190231106
37.0	0.39727793803058375
38.0	0.39665680304304374
39.0	0.3962841220505169
40.0	0.39578721406049056
41.0	0.3954145330679637
42.0	0.39504185207543685
43.0	0.39504185207543685
44.0	0.3947933980804237
45.0	0.39466917108291
46.0	0.39429649009038314
47.0	0.3923088581302494
48.0	0.39056968016514304
49.0	0.3884578212075098
50.0	0.38522791927229605
51.0	0.3826191523246223
