#Coverage (X)	Coverage
1.0	0.39802330001565167
2.0	0.397899073018138
3.0	0.397899073018138
4.0	0.397899073018138
5.0	0.397899073018138
6.0	0.397899073018138
7.0	0.397899073018138
8.0	0.3969052570380711
9.0	0.3909423611576841
10.0	0.38460678428477024
11.0	0.38150110934707016
12.0	0.37851966140688376
13.0	0.3751655324741705
14.0	0.3736748085040773
15.0	0.3721840845339841
16.0	0.3705691335663772
17.0	0.3683330476112303
18.0	0.3647304646835039
19.0	0.35591034786042997
20.0	0.34162424314700957
21.0	0.3333010343139762
22.0	0.32000874558062264
23.0	0.30932522379492866
24.0	0.2947906650864951
25.0	0.28236796533569475
26.0	0.2735478485126208
27.0	0.2653488666770869
28.0	0.2580194738241204
29.0	0.2518081239487202
30.0	0.24559677407332003
31.0	0.23777047323031297
32.0	0.23180757734992596
33.0	0.2232359145218794
34.0	0.21404311670629284
35.0	0.2053472268807326
36.0	0.19665133705517235
37.0	0.18559513427696572
38.0	0.17652656345887863
39.0	0.1700667595884653
40.0	0.16522190668565884
41.0	0.15963169179779868
42.0	0.1504388939822121
43.0	0.14571826807690513
44.0	0.14099764217159816
45.0	0.13677392425633172
46.0	0.13428938430617166
47.0	0.1316806173584979
48.0	0.1272084454482041
49.0	0.1248481324955577
50.0	0.12236359254539764
51.0	0.1211213225703176
