#Read position (bp)	Clipping profile
0.0	1.1689547369851843
1.0	1.1689547369851843
2.0	1.1689547369851843
3.0	1.1281772461601196
4.0	1.0602147614516788
5.0	1.0194372706266142
6.0	1.0058447736849259
7.0	1.0058447736849259
8.0	0.9922522767432378
9.0	0.9922522767432378
10.0	0.9922522767432378
11.0	0.9786597798015495
12.0	0.9650672828598614
13.0	0.9650672828598614
14.0	0.9378822889764851
15.0	0.9242897920347968
16.0	0.9242897920347968
17.0	0.8971047981514204
18.0	0.869919804268044
19.0	0.8971047981514204
20.0	0.8971047981514204
21.0	0.8835123012097321
22.0	0.8971047981514204
23.0	0.8835123012097321
24.0	0.8563273073263558
25.0	0.869919804268044
26.0	0.869919804268044
27.0	0.869919804268044
28.0	0.8563273073263558
29.0	0.869919804268044
30.0	0.869919804268044
31.0	0.8971047981514204
32.0	0.9242897920347968
33.0	0.9242897920347968
34.0	0.8563273073263558
35.0	0.8835123012097321
36.0	0.869919804268044
37.0	0.8563273073263558
38.0	0.8563273073263558
39.0	0.8563273073263558
40.0	0.869919804268044
41.0	0.8563273073263558
42.0	0.869919804268044
43.0	0.8563273073263558
44.0	0.8563273073263558
45.0	0.8291423134429795
46.0	0.8019573195596031
47.0	0.8155498165012913
48.0	0.8563273073263558
49.0	0.8835123012097321
50.0	0.8835123012097321
51.0	0.8971047981514204
52.0	0.8971047981514204
53.0	0.8835123012097321
54.0	0.8835123012097321
55.0	0.9242897920347968
56.0	0.9514747859181731
57.0	0.9514747859181731
58.0	0.9650672828598614
59.0	0.9786597798015495
60.0	1.0058447736849259
61.0	1.0194372706266142
62.0	1.0058447736849259
63.0	0.9378822889764851
64.0	0.9514747859181731
65.0	0.9514747859181731
66.0	0.9786597798015495
67.0	0.9650672828598614
68.0	0.9650672828598614
69.0	0.9650672828598614
70.0	0.9786597798015495
71.0	0.9650672828598614
72.0	0.9514747859181731
73.0	0.9650672828598614
74.0	0.9922522767432378
75.0	1.0058447736849259
76.0	1.0194372706266142
77.0	1.0058447736849259
78.0	1.0194372706266142
79.0	1.0194372706266142
80.0	1.0466222645099905
81.0	1.0330297675683022
82.0	1.0330297675683022
83.0	1.0466222645099905
84.0	1.0738072583933669
85.0	1.0873997553350552
86.0	1.0873997553350552
87.0	1.1009922522767432
88.0	1.141769743101808
89.0	1.1689547369851843
90.0	1.1825472339268723
91.0	1.1961397308685606
92.0	1.223324724751937
93.0	1.236917221693625
94.0	1.2776947125186897
95.0	1.2776947125186897
96.0	1.3184722033437541
97.0	1.3456571972271305
98.0	1.3592496941688188
99.0	1.3864346880521952
100.0	1.3864346880521952
