#Coverage	Number of genomic locations
0.0	48142.0
1.0	2.0
2.0	2.0
3.0	2.0
4.0	2.0
5.0	2.0
6.0	4.0
7.0	4.0
8.0	3.0
9.0	4.0
10.0	3.0
11.0	5.0
12.0	5.0
13.0	3.0
14.0	4.0
15.0	3.0
16.0	6.0
17.0	3.0
18.0	4.0
19.0	5.0
20.0	5.0
21.0	3.0
22.0	2.0
23.0	5.0
24.0	3.0
25.0	7.0
26.0	2.0
27.0	2.0
28.0	4.0
29.0	3.0
30.0	4.0
31.0	5.0
32.0	5.0
33.0	6.0
34.0	13.0
35.0	27.0
36.0	50.0
37.0	53.0
38.0	20.0
39.0	4.0
40.0	12.0
41.0	8.0
42.0	9.0
43.0	4.0
44.0	22.0
45.0	8.0
46.0	7.0
47.0	1.0
