#Coverage (X)	Coverage
1.0	0.7422374335078956
2.0	0.7381138922106345
3.0	0.7339903509133734
4.0	0.7298668096161123
5.0	0.7257432683188512
6.0	0.72161972702159
7.0	0.7133726444270536
8.0	0.7051255618325172
9.0	0.6989402498866184
10.0	0.690693167292082
11.0	0.6845078553461832
12.0	0.6741990021030233
13.0	0.6638901488598634
14.0	0.6577048369139646
15.0	0.6494577543194282
16.0	0.6432724423735294
17.0	0.6309018184817319
18.0	0.6247165065358331
19.0	0.6164694239412967
20.0	0.6061605706981368
21.0	0.5958517174549769
22.0	0.5896664055090781
23.0	0.585542864211817
24.0	0.5752340109686571
25.0	0.5690486990227583
26.0	0.5546163044823231
27.0	0.550492763185062
28.0	0.5463692218878009
29.0	0.5381221392932645
30.0	0.5319368273473657
31.0	0.5236897447528293
32.0	0.5133808915096694
33.0	0.5030720382665095
34.0	0.49070141437471193
35.0	0.46389839594247917
36.0	0.4082305884293902
37.0	0.3051420559977345
38.0	0.19586821162017998
39.0	0.154632798647512
40.0	0.14638571605297557
41.0	0.12164446826938047
42.0	0.1051503030803218
43.0	0.08659436724262548
44.0	0.07834728464808904
45.0	0.03298833037815996
46.0	0.016494165189101295
47.0	0.0020617706486660836
48.0	2.8421709430404007E-14
49.0	2.8421709430404007E-14
50.0	2.8421709430404007E-14
51.0	2.8421709430404007E-14
