#Coverage (X)	Coverage
1.0	0.3978990730181522
2.0	0.3978990730181522
3.0	0.3978990730181522
4.0	0.3978990730181522
5.0	0.3978990730181522
6.0	0.3978990730181522
7.0	0.3978990730181522
8.0	0.3978990730181522
9.0	0.39752639202562534
10.0	0.3946691710829384
11.0	0.39206040413526466
12.0	0.38771245922248454
13.0	0.3788923423994106
14.0	0.37342635450906414
15.0	0.3669665506386508
16.0	0.3578979798205637
17.0	0.3504443599700835
18.0	0.3340463962990299
19.0	0.3232386475158364
20.0	0.31031903977500974
21.0	0.29590870806407565
22.0	0.2870885912410017
23.0	0.27851692841295517
24.0	0.2677091796297617
25.0	0.25826792781914776
26.0	0.24944781099607383
27.0	0.24075192117051358
28.0	0.23516170628265343
29.0	0.22832922141971324
30.0	0.22460241149447313
31.0	0.21690033764897976
32.0	0.2105647607760659
33.0	0.2016204169554925
34.0	0.19752092603772553
35.0	0.1961544290651318
36.0	0.19379411611248543
37.0	0.1910611221673122
38.0	0.1872100852445584
39.0	0.1819925513492251
40.0	0.17801728742897183
41.0	0.17416625050621803
42.0	0.1683275816233447
43.0	0.16422809070557776
44.0	0.1593832378027713
45.0	0.15478683889497802
46.0	0.15081157497472475
47.0	0.14783012703453835
48.0	0.14385486311428508
49.0	0.14211568514917872
50.0	0.14062496117908552
51.0	0.1370223782513591
