#Read position (bp)	Clipping profile
0.0	1.3137878578343245
1.0	1.3137878578343245
2.0	1.2722998202185036
3.0	1.244641128474623
4.0	1.230811782602683
5.0	1.230811782602683
6.0	1.230811782602683
7.0	1.2031530908588024
8.0	1.1616650532429817
9.0	1.1616650532429817
10.0	1.1478357073710415
11.0	1.1201770156271609
12.0	1.1063476697552206
13.0	1.0925183238832803
14.0	1.07868897801134
15.0	1.0648596321393997
16.0	1.0510302862674596
17.0	1.0372009403955194
18.0	1.0095422486516388
19.0	0.9957129027796986
20.0	0.9818835569077583
21.0	0.9818835569077583
22.0	0.9818835569077583
23.0	0.9542248651638777
24.0	0.9403955192919375
25.0	0.9542248651638777
26.0	0.9403955192919375
27.0	0.9542248651638777
28.0	0.9680542110358179
29.0	0.9818835569077583
30.0	0.9680542110358179
31.0	0.9680542110358179
32.0	0.9265661734199973
33.0	0.9403955192919375
34.0	0.912736827548057
35.0	0.9265661734199973
36.0	0.9542248651638777
37.0	0.8989074816761167
38.0	0.8574194440602959
39.0	0.8850781358041765
40.0	0.8712487899322363
41.0	0.8574194440602959
42.0	0.8574194440602959
43.0	0.8574194440602959
44.0	0.8435900981883557
45.0	0.8435900981883557
46.0	0.8574194440602959
47.0	0.8297607523164154
48.0	0.8159314064444753
49.0	0.8159314064444753
50.0	0.8021020605725349
51.0	0.7882727147005947
52.0	0.7606140229567141
53.0	0.7606140229567141
54.0	0.7467846770847739
55.0	0.7467846770847739
56.0	0.7191259853408934
57.0	0.7329553312128336
58.0	0.7467846770847739
59.0	0.7606140229567141
60.0	0.7467846770847739
61.0	0.7744433688286544
62.0	0.7882727147005947
63.0	0.7882727147005947
64.0	0.8159314064444753
65.0	0.8159314064444753
66.0	0.8159314064444753
67.0	0.8574194440602959
68.0	0.8712487899322363
69.0	0.8435900981883557
70.0	0.8159314064444753
71.0	0.8297607523164154
72.0	0.8435900981883557
73.0	0.8297607523164154
74.0	0.8435900981883557
75.0	0.912736827548057
76.0	0.8989074816761167
77.0	0.912736827548057
78.0	0.912736827548057
79.0	0.912736827548057
80.0	0.9403955192919375
81.0	0.9403955192919375
82.0	0.9403955192919375
83.0	1.0095422486516388
84.0	1.0372009403955194
85.0	1.0648596321393997
86.0	1.0925183238832803
87.0	1.1063476697552206
88.0	1.1478357073710415
89.0	1.2031530908588024
90.0	1.2169824367307427
91.0	1.2169824367307427
92.0	1.244641128474623
93.0	1.286129166090444
94.0	1.3276172037062648
95.0	1.3414465495782049
96.0	1.3552758954501452
97.0	1.396763933065966
98.0	1.438251970681787
99.0	1.452081316553727
100.0	1.452081316553727
