#Coverage (X)	Coverage
1.0	0.39802330001565167
2.0	0.39802330001565167
3.0	0.397899073018138
4.0	0.397899073018138
5.0	0.397899073018138
6.0	0.39727793803059797
7.0	0.3955387600654916
8.0	0.3925573121253052
9.0	0.391066588155212
10.0	0.38758823222498506
11.0	0.38398564929725865
12.0	0.37702893743680477
13.0	0.36945109058881087
14.0	0.3586433418056174
15.0	0.349077862997504
16.0	0.3355371202691373
17.0	0.32025719957565
18.0	0.3068406838447828
19.0	0.29739943203416885
20.0	0.28758549923104226
21.0	0.28075301436810207
22.0	0.2708148545674618
23.0	0.25901328980420146
24.0	0.2498204919886149
25.0	0.24211841814312152
26.0	0.22683849744963425
27.0	0.21168280375366066
28.0	0.1986389690153203
29.0	0.18609204226700626
30.0	0.170812121573519
31.0	0.1647249986956325
32.0	0.1602528267853387
33.0	0.1564017898625849
34.0	0.15354456891989798
35.0	0.14783012703452414
36.0	0.14522136008685038
37.0	0.14323372812671664
38.0	0.14087341517407026
39.0	0.13764351323885649
40.0	0.13366824931860322
41.0	0.12944453140333678
42.0	0.12522081348807035
43.0	0.12136977656531656
44.0	0.11813987463010278
45.0	0.11366770271980897
46.0	0.11143161676466207
47.0	0.10857439582197514
48.0	0.10534449388676137
49.0	0.10186613795653443
50.0	0.10099654897398125
51.0	0.0998785059964149
